t (ms);signal
3.492000000000000455e+02;-1.177000000000000000e+03
3.493000000000000114e+02;3.515000000000000000e+03
3.494000000000000341e+02;-3.085000000000000000e+03
3.495000000000000000e+02;-1.100000000000000000e+01
3.496000000000000227e+02;5.044000000000000000e+03
3.497000000000000455e+02;-2.792000000000000000e+03
3.498000000000000114e+02;-1.415000000000000000e+03
3.499000000000000341e+02;3.615000000000000000e+03
3.500000000000000000e+02;-3.926000000000000000e+03
3.501000000000000227e+02;-2.144000000000000000e+03
3.502000000000000455e+02;4.843000000000000000e+03
3.503000000000000114e+02;-1.885000000000000000e+03
3.504000000000000341e+02;-1.086000000000000000e+03
3.505000000000000000e+02;5.406000000000000000e+03
3.506000000000000227e+02;-2.837000000000000000e+03
3.507000000000000455e+02;-3.627000000000000000e+03
3.508000000000000114e+02;4.052000000000000000e+03
3.509000000000000341e+02;-2.739000000000000000e+03
3.510000000000000000e+02;-2.879000000000000000e+03
3.511000000000000227e+02;6.106000000000000000e+03
3.512000000000000455e+02;-6.340000000000000000e+02
3.513000000000000114e+02;-2.772000000000000000e+03
3.514000000000000341e+02;4.921000000000000000e+03
3.515000000000000000e+02;-2.435000000000000000e+03
3.516000000000000227e+02;-5.072000000000000000e+03
3.517000000000000455e+02;4.441000000000000000e+03
3.518000000000000114e+02;-8.830000000000000000e+02
3.519000000000000341e+02;-3.457000000000000000e+03
3.520000000000000000e+02;6.635000000000000000e+03
3.521000000000000227e+02;4.120000000000000000e+02
3.522000000000000455e+02;-5.082000000000000000e+03
3.523000000000000114e+02;4.037000000000000000e+03
3.524000000000000341e+02;-1.311000000000000000e+03
3.525000000000000000e+02;-6.234000000000000000e+03
3.526000000000000227e+02;5.164000000000000000e+03
3.527000000000000455e+02;1.724000000000000000e+03
3.528000000000000114e+02;-4.272000000000000000e+03
3.529000000000000341e+02;5.786000000000000000e+03
3.530000000000000000e+02;1.213000000000000000e+03
3.531000000000000227e+02;-7.391000000000000000e+03
3.532000000000000455e+02;2.840000000000000000e+03
3.533000000000000114e+02;7.580000000000000000e+02
3.534000000000000341e+02;-6.428000000000000000e+03
3.535000000000000000e+02;5.368000000000000000e+03
3.536000000000000227e+02;4.277000000000000000e+03
3.537000000000000455e+02;-5.325000000000000000e+03
3.538000000000000114e+02;3.890000000000000000e+03
3.539000000000000341e+02;1.938000000000000000e+03
3.540000000000000000e+02;-8.551000000000000000e+03
3.541000000000000227e+02;1.997000000000000000e+03
3.542000000000000455e+02;3.705000000000000000e+03
3.543000000000000114e+02;-5.652000000000000000e+03
3.544000000000000341e+02;4.613000000000000000e+03
3.545000000000000000e+02;5.783000000000000000e+03
3.546000000000000227e+02;-6.722000000000000000e+03
3.547000000000000455e+02;1.217000000000000000e+03
3.548000000000000114e+02;3.028000000000000000e+03
3.549000000000000341e+02;-8.450000000000000000e+03
3.550000000000000000e+02;1.387000000000000000e+03
3.551000000000000227e+02;6.611000000000000000e+03
3.552000000000000455e+02;-4.818000000000000000e+03
3.553000000000000114e+02;2.588000000000000000e+03
3.554000000000000341e+02;6.247000000000000000e+03
3.555000000000000000e+02;-7.949000000000000000e+03
3.556000000000000227e+02;-1.859000000000000000e+03
3.557000000000000455e+02;4.602000000000000000e+03
3.558000000000000114e+02;-6.764000000000000000e+03
3.559000000000000341e+02;8.230000000000000000e+02
3.560000000000000000e+02;8.973000000000000000e+03
3.561000000000000227e+02;-4.156000000000000000e+03
3.562000000000000455e+02;-4.740000000000000000e+02
3.563000000000000114e+02;5.918000000000000000e+03
3.564000000000000341e+02;-7.864000000000000000e+03
3.565000000000000000e+02;-3.803000000000000000e+03
3.566000000000000227e+02;6.955000000000000000e+03
3.567000000000000455e+02;-3.935000000000000000e+03
3.568000000000000114e+02;-2.890000000000000000e+02
3.569000000000000341e+02;9.729000000000000000e+03
3.570000000000000000e+02;-4.055000000000000000e+03
3.571000000000000227e+02;-4.394000000000000000e+03
3.572000000000000455e+02;5.547000000000000000e+03
3.573000000000000114e+02;-6.409000000000000000e+03
3.574000000000000341e+02;-4.765000000000000000e+03
3.575000000000000000e+02;9.243000000000000000e+03
3.576000000000000227e+02;-1.175000000000000000e+03
3.577000000000000455e+02;-2.411000000000000000e+03
3.578000000000000114e+02;8.961000000000000000e+03
3.579000000000000341e+02;-4.127000000000000000e+03
3.580000000000000000e+02;-7.778000000000000000e+03
3.581000000000000227e+02;5.653000000000000000e+03
3.582000000000000455e+02;-3.299000000000000000e+03
3.583000000000000114e+02;-4.826000000000000000e+03
3.584000000000000341e+02;1.045300000000000000e+04
3.585000000000000000e+02;9.630000000000000000e+02
3.586000000000000227e+02;-5.400000000000000000e+03
3.587000000000000455e+02;6.804000000000000000e+03
3.588000000000000114e+02;-3.396000000000000000e+03
3.589000000000000341e+02;-9.688000000000000000e+03
3.590000000000000000e+02;6.194000000000000000e+03
3.591000000000000227e+02;8.600000000000000000e+02
3.592000000000000455e+02;-4.834000000000000000e+03
3.593000000000000114e+02;9.732000000000000000e+03
3.594000000000000341e+02;2.165000000000000000e+03
3.595000000000000000e+02;-8.749000000000000000e+03
3.596000000000000227e+02;4.227000000000000000e+03
3.597000000000000455e+02;-1.288000000000000000e+03
3.598000000000000114e+02;-9.686000000000000000e+03
3.599000000000000341e+02;6.920000000000000000e+03
3.600000000000000000e+02;4.873000000000000000e+03
3.601000000000000227e+02;-5.408000000000000000e+03
3.602000000000000455e+02;7.205000000000000000e+03
3.603000000000000114e+02;2.341000000000000000e+03
3.604000000000000341e+02;-1.113100000000000000e+04
3.605000000000000000e+02;2.022000000000000000e+03
3.606000000000000227e+02;2.142000000000000000e+03
3.607000000000000455e+02;-8.080000000000000000e+03
3.608000000000000114e+02;6.842000000000000000e+03
3.609000000000000341e+02;7.593000000000000000e+03
3.610000000000000000e+02;-6.789000000000000000e+03
3.611000000000000227e+02;3.102000000000000000e+03
